Group,Subgroup,Subassembly,,,,,,,,,,,
ECLSS,CDRA,Air Pump Two-Stage ORU,,3,2,1,2,2,2,2,2,2,2
,,Blower,,4,1,2,2,2,2,2,2,3,3
,,Check Valves,,6,4,4,4,6,5,7,7,7,8
,,Dessicant Beds,,6,3,4,4,4,5,6,6,7,7
,,Heat Controller,,4,1,2,2,2,2,3,2,3,3
,,Precooler,,4,1,2,2,2,2,2,2,3,3
,,Pump Fan Motor Controller,,2,1,0,1,0,1,0,1,1,0
,,Selector Valves,,7,6,6,6,8,9,10,11,11,13
,,Sorbent Beds (Zeolite),,6,3,4,4,4,5,6,6,7,7
,ORA,Air Pump Two-Stage ORU,,3,1,1,1,1,1,1,2,1,1
,,Blower,,3,1,1,1,2,1,1,2,1,2
,,Check Valves,,4,3,2,3,3,3,4,4,4,4
,,Dessicant Beds,,4,2,3,2,3,3,3,3,4,4
,,Heat Controller,,3,1,1,2,1,1,2,1,1,2
,,Precooler,,3,1,1,1,2,1,1,2,1,2
,,Pump Fan Motor Controller,,2,0,1,0,0,1,0,1,0,0
,,Selector Valves,,5,4,3,4,5,4,6,5,7,6
,,Sorbent Beds (Zeolite),,4,2,3,2,3,3,3,3,4,4
,CCAA (x6),Condensing Heat Exchanger,,7,4,6,6,7,7,8,10,10,10
,,Electronic Interface Box (EIB),,6,4,4,4,6,5,7,6,8,8
,,Fan Delta Pressure Sensor,,6,3,4,5,5,5,6,7,7,7
,,Heat Exchanger Liquid Sensor,,8,6,7,8,9,11,11,13,14,15
,,Inlet ORU,,10,9,11,12,14,17,18,21,22,25
,,Pressure Transducer,,6,3,4,5,5,5,8,36,36,36
,,Temperature Control Check Valve (TCCV),,71,102,144,184,225,266,307,348,389,430
,,Temperature Sensor,,3,1,1,1,2,1,1,2,1,2
,,Water Separator,,27,30,41,51,139,144,216,216,216,288
,,Water Separator Liquid Sensor,,8,6,7,8,9,11,11,13,14,15
,UPA,Distillation Assembly,,3,1,2,4,5,6,7,8,9,10
,,Firmware Controller Assembly,,5,2,3,3,3,4,4,4,8,9
,,Fluids Control and Pump Assembly,,3,2,1,1,2,1,2,4,4,5
,,Pressure Control and Pump Assembly,,3,1,2,4,5,6,7,8,9,10
,,Recycle Filter Tank Assembly,,27,54,81,108,135,162,189,216,244,271
,,Separator Plumbing Assembly,,2,4,6,8,10,13,15,17,19,21
,WPA,Catalytic Reactor,,3,1,2,1,3,5,6,7,8,9
,,Gas Separator,,2,4,6,8,10,13,15,17,19,21
,,Ion Exchange Bed,,13,27,40,54,67,81,94,108,122,135
,,Microbial Check Valve,,2,4,6,8,10,13,15,17,19,21
,,Multifiltration Bed #1,,6,12,18,24,30,36,42,48,54,60
,,Multifiltration Bed #2,,6,12,18,24,30,36,42,48,54,60
,,Particulate Filter,,9,19,29,39,49,59,69,78,88,98
,,pH Adjuster,,2,4,6,8,10,13,15,17,19,21
,,Process Controller,,2,1,1,0,1,1,0,1,1,2
,,Pump Separator,,3,1,2,4,5,6,7,8,9,10
,,Reactor Health Sensor,,2,4,6,8,10,13,15,17,19,21
,,Sensor,,2,1,0,1,0,1,0,1,0,1
,,Separator Filter,,2,5,7,10,12,15,18,20,23,25
,,Start-up Filter,,2,0,1,0,1,0,0,1,0,1
,,Water Delivery,,2,1,1,1,1,0,3,3,3,4
,,,,,,,,,,,,,
,GLS,LED Growth Light ORU,,9,7,121,137,137,274,274,411,411,411
ISRU (Crew System),AP,Zeolite and Support Structure,,4,3,2,2,3,3,4,3,4,4
,,Compressor,,6,4,4,4,5,6,6,7,8,8
,,Cryocooler,,4,1,2,2,2,2,2,3,2,3
,SP,Mixing Auger,,2,1,1,1,1,1,1,1,1,1
,,Feed Cone,,2,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,
,,Horizontal Feed Auger,,2,1,1,1,1,1,1,1,1,1
,,Condensing Heat Exchanger,,2,1,1,0,1,0,1,1,1,0
,,Oven Heater,,3,1,1,2,1,1,2,1,2,2
,CO2 Injection System,Cryocooler,,4,2,2,2,2,3,3,2,3,4
,,Blower,,4,1,2,2,2,2,2,2,3,3
,,Valves,,7,4,6,6,6,8,9,9,10,11
ISRU (Pre-Deployed),AP,Zeolite and Support Structure,,4,2,1,0,1,1,1,0,1,0
,,Compressor 1 (Mars to 1atm),,6,2,2,1,1,2,1,1,1,1
,,Cryocooler,,4,1,0,1,1,0,1,0,1,0
,SP,Mixing Auger,,2,1,0,1,0,0,0,1,0,0
,,Feed Cone,,2,1,0,1,0,0,0,1,0,0
,,,,,,,,,,,,,
,,Horizontal Feed Auger,,2,1,0,1,0,0,0,1,0,0
,,Condensing Heat Exchanger,,2,1,0,0,0,1,0,0,0,0
,,Oven Heater,,3,1,0,1,0,0,1,0,0,1
,OGA,Hydrogen Sensor,,21,12,11,10,10,9,9,9,9,9
,,Inlet Deionizing Bed,,9,4,3,3,2,3,2,3,2,2
,,Nitrogen Purge ORU,,13,7,5,5,5,5,5,4,5,4
,,Oxygen Outlet,,16,8,8,6,7,6,7,6,6,6
,,Power Supply Module,,25,14,14,13,12,12,12,11,12,11
,,Process Controller,,15,8,8,6,6,7,5,6,6,6
,,Pump,,13,6,5,6,4,5,4,5,4,4
,,,,,,,,,,,,,
,EVA ,Battery,,34,70,104,140,176,210,246,280,316,352
